Date,Species,Antibody_status
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
18/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
